fuel_type,gearbox,mileage,model,name,place,price,seller_type,users_data,year
Benzyna,Automatyczna,149 000 km,Acura,Acura MDX 3.7 V6 Base,Kraków (Małopolskie),79 900,Prywatny sprzedawca,3 664 cm3 • 300 KM • Stan Idealny !!! 4x4 SH-AWD !!!,2013
Benzyna,Automatyczna,69 500 km,Acura,Acura RDX,Wrocław (Dolnośląskie),170 000,Prywatny sprzedawca,1 996 cm3 • 272 KM • 2022 Po lifcie,2022
Benzyna,Automatyczna,28 600 km,Acura,Acura RDX,Wrocław (Dolnośląskie),165 000,Prywatny sprzedawca,1 996 cm3 • 276 KM • Acura RDX,2023
Benzyna,Automatyczna,37 000 km,Acura,Acura Inny,Ząbki (Mazowieckie),119 000,Prywatny sprzedawca,"3 471 cm3 • 320 KM • Acura TLX Tech 3,5 FWD 2019",2019
Benzyna,Automatyczna,118 000 km,Acura,Acura RDX,Liszki (Małopolskie),139 000,Prywatny sprzedawca,1 996 cm3 • 272 KM • Acura RDX Wersja A-SPEC 4X4 SH-AWD 2.0 272KM.,2019
Benzyna,Automatyczna,61 000 km,Acura,Acura RDX,Stargard (Zachodniopomorskie),139 900,Prywatny sprzedawca,1 996 cm3 • 272 KM • ACURA A-Spec AWD 4x4 272 KM,2021
Diesel,Automatyczna,157 000 km,BMW,BMW X5 xDrive25d,Warszawa (Mazowieckie),85 000,Prywatny sprzedawca,1 995 cm3 • 218 KM • Salon Polska BMW X5 F15 Xdrive 25d,2014
Benzyna,Automatyczna,214 320 km,BMW,BMW Seria 4,Kozy (Śląskie),121 900,Prywatny sprzedawca,2 979 cm3 • 306 KM • BMW 435I xDrive F32 1 Właściciel Salon Polska FV 23%,2014
Benzyna,Automatyczna,236 500 km,BMW,BMW Seria 3 320i Cabrio Edition Exclusive,Elbląg (Warmińsko-mazurskie),39 900,Prywatny sprzedawca,1 995 cm3 • 170 KM • Cabrio,2008
Diesel,Automatyczna,49 900 km,BMW,BMW X3 xDrive20d M Sport sport,Warszawa (Mazowieckie),124 900,Prywatny sprzedawca,1 995 cm3 • 190 KM • Salon Polska 4x4 M Pakiet 360kam adaptive led full,2017
Diesel,Automatyczna,112 000 km,BMW,BMW X6 xDrive40d,Bobolice (Zachodniopomorskie),129 900,Prywatny sprzedawca,2 993 cm3 • 313 KM • 3.0 313 KM # klima # Head-up # navi # serwis # salon Polska# OKAZJA!!!,2016
Benzyna,Manualna,119 700 km,BMW,BMW Seria 1 118i M Sport,Kraków (Małopolskie),77 500,Prywatny sprzedawca,"1 499 cm3 • 140 KM • pierwszy właściciel, salon PL, faktura VAT 23%",2020
Diesel,Automatyczna,282 000 km,BMW,BMW Seria 3,Miedziana Góra (Świętokrzyskie),37 000,Prywatny sprzedawca,1 995 cm3 • 150 KM • BMW F31! Touring! 2016 r! 1 Własciciel!,2016
Diesel,Manualna,253 000 km,BMW,BMW Seria 5 520d,Siekierki Wielkie (Wielkopolskie),50 000,Prywatny sprzedawca,1 995 cm3 • 177 KM • BMW seria 5 520d Efficient dynamics,2010
Diesel,Manualna,205 000 km,BMW,BMW X1 xDrive20d,Wałcz (Zachodniopomorskie),29 999,Prywatny sprzedawca,1 995 cm3 • 190 KM • BMW X1 190km,2015
Benzyna,Automatyczna,112 000 km,BMW,BMW Seria 1 M140i xDrive Special Edition,Katowice (Śląskie),139 000,Prywatny sprzedawca,2 998 cm3 • 340 KM • m pakiet performance x drive,2018
Benzyna,Automatyczna,93 000 km,BMW,BMW Seria 1 M135i xDrive Sport-Aut,Katowice (Śląskie),95 000,Prywatny sprzedawca,2 979 cm3 • 326 KM • x drive automat m pakiet,2015
Hybryda Plug-in,Automatyczna,178 000 km,BMW,BMW Seria 3 330e iPerformance M Sport Shadow,Łódź (Łódzkie),81 000,Prywatny sprzedawca,"1 998 cm3 • 184 KM • JEDYNA TAKA! FULL OPCJA - M pakiet, nav. Proffesional, Head Up, H&K",2018
Benzyna,Automatyczna,103 000 km,BMW,BMW X1,Łuków (Lubelskie),105 000,Prywatny sprzedawca,"1 998 cm3 • 231 KM • 2018 BMW X1 28i XDRIVE 2.0L 4WD świeżo po serwisie, nowy akumulator",2018
Benzyna,Automatyczna,49 000 km,BMW,BMW M3 CS DKG,Gdynia (Pomorskie),299 000,Prywatny sprzedawca,2 979 cm3 • 460 KM • BMW M3 CS 1 z 1200,2018
Diesel,Automatyczna,28 500 km,BMW,BMW X3 xDrive20d,Lidzbark (Warmińsko-mazurskie),207 000,Prywatny sprzedawca,1 995 cm3 • 190 KM,2022
Diesel,Automatyczna,85 000 km,BMW,BMW X6 M50d,Słupsk (Pomorskie),349 900,Prywatny sprzedawca,2 993 cm3 • 400 KM • M Edition Black Vermilion xDrive40d 340KM,2022
Diesel,Automatyczna,185 500 km,BMW,BMW X3 xDrive20d Blue Performance,Malbork (Pomorskie),51 900,Prywatny sprzedawca,1 995 cm3 • 184 KM • BMW x3,2011
Diesel,Manualna,170 000 km,BMW,BMW Seria 1 118d M Sport,Wschowa (Lubuskie),55 900,Prywatny sprzedawca,1 995 cm3 • 150 KM • BMW Seria 1 F20 118d M-Sport 2.0 150KM Krajowe,2015
Diesel,Automatyczna,153 000 km,BMW,BMW Seria 3,Brodnica (Kujawsko-pomorskie),88 900,Prywatny sprzedawca,1 995 cm3 • 149 KM • BMW seria 3 G21 Automat,2020
Diesel,Automatyczna,303 000 km,BMW,BMW Seria 7 730d,Reda (Pomorskie),55 900,Prywatny sprzedawca,2 993 cm3 • 245 KM • F01 730D Keyless / Dociągi / Komforty / Wentyle / Szyberdach / ACC,2011
Benzyna,Manualna,90 000 km,BMW,BMW Seria 1 118i Edition M Sport Shadow,Oleśnica (Dolnośląskie),52 500,Prywatny sprzedawca,1 499 cm3 • 136 KM • M Pakiet Idealny Stan !,2017
Benzyna,Automatyczna,66 000 km,BMW,BMW X1,Warszawa (Mazowieckie),87 900,Prywatny sprzedawca,1 998 cm3 • 231 KM • BMW X1 F48 2018,2018
Diesel,Manualna,312 000 km,BMW,BMW Seria 1 116d DPF Edition Sport,Ślesin (Wielkopolskie),15 900,Prywatny sprzedawca,1 995 cm3 • 116 KM • BMW 116d 2011rok Nowy rozrząd,2011
Diesel,Manualna,221 000 km,BMW,BMW X3 20d xDrive,Płock (Mazowieckie),54 900,,1 995 cm3 • 184 KM • __ M-Pakiet __ PANORAMA _ SKÓRA _ NAVI _ Bi-Xenon _ LEDY _ PDC _ MAXX,2013
Diesel,Automatyczna,191 000 km,BMW,BMW Seria 5 520d Touring,Błażowa (Podkarpackie),59 800,,1 995 cm3 • 184 KM • 520d Lift M pakiet biksenon led navi professional full opcja,2014
Diesel,Automatyczna,56 000 km,BMW,BMW Seria 5,Sobótka (Dolnośląskie),254 900,Prywatny sprzedawca,2 993 cm3 • 286 KM • Xdrive M SPORT Shadow NAVI Kamera BLIS Linie ACC Znaki HAK Webasto VAT,2022
Diesel,Automatyczna,230 000 km,BMW,BMW Seria 5,Wałcz (Zachodniopomorskie),99 876,Prywatny sprzedawca,1 995 cm3 • 184 KM • BMW M Power,2018
Benzyna,Automatyczna,35 600 km,BMW,BMW X2 sDrive18i M Sport,Skierniewice (Łódzkie),114 970,Prywatny sprzedawca,"1 499 cm3 • 140 KM • Wersja M Pakiet , niski przebieg, 12.2020",2020
Diesel,Automatyczna,168 000 km,BMW,BMW X5 xDrive25d,Gdańsk (Pomorskie),91 900,Prywatny sprzedawca,1 995 cm3 • 231 KM • BMW X5 pierwszy właściciel,2015
Benzyna,Automatyczna,41 500 km,BMW,BMW X4 xDrive30i M Sport,Żurawica (Podkarpackie),167 000,Prywatny sprzedawca,1 998 cm3 • 252 KM,2020
Benzyna,Automatyczna,154 572 km,BMW,BMW Seria 2 218i Active Tourer,Paprotnia (Wielkopolskie),63 700,Prywatny sprzedawca,"1 499 cm3 • 140 KM • 218i Active Tourer Facelifting, Automat 2020r.",2020
Benzyna,Automatyczna,199 000 km,BMW,BMW Seria 5 545i,Warszawa (Mazowieckie),34 900,Prywatny sprzedawca,"4 398 cm3 • 333 KM • BMW 545i E61 N62 4.4L 333KM Niski przebieg, bez wkładu finansowego",2004
