fuel_type,gearbox,mileage,model,name,place,price,seller_type,users_data,year
Benzyna,Automatyczna,149 000 km,Acura,Acura MDX 3.7 V6 Base,Kraków (Małopolskie),79 900,Prywatny sprzedawca,3 664 cm3 • 300 KM • Stan Idealny !!! 4x4 SH-AWD !!!,2013
Benzyna,Automatyczna,69 500 km,Acura,Acura RDX,Wrocław (Dolnośląskie),170 000,Prywatny sprzedawca,1 996 cm3 • 272 KM • 2022 Po lifcie,2022
Benzyna,Automatyczna,28 600 km,Acura,Acura RDX,Wrocław (Dolnośląskie),165 000,Prywatny sprzedawca,1 996 cm3 • 276 KM • Acura RDX,2023
Benzyna,Automatyczna,37 000 km,Acura,Acura Inny,Ząbki (Mazowieckie),119 000,Prywatny sprzedawca,"3 471 cm3 • 320 KM • Acura TLX Tech 3,5 FWD 2019",2019
Benzyna,Automatyczna,118 000 km,Acura,Acura RDX,Liszki (Małopolskie),139 000,Prywatny sprzedawca,1 996 cm3 • 272 KM • Acura RDX Wersja A-SPEC 4X4 SH-AWD 2.0 272KM.,2019
Benzyna,Automatyczna,61 000 km,Acura,Acura RDX,Stargard (Zachodniopomorskie),139 900,Prywatny sprzedawca,1 996 cm3 • 272 KM • ACURA A-Spec AWD 4x4 272 KM,2021
Diesel,Automatyczna,53 500 km,Aixam,Aixam Crossline,Wisła Wielka (Śląskie),40 000,Prywatny sprzedawca,599 cm3 • 15 KM • Aixam Crossline/ Homologacja L7E,2018
Diesel,Automatyczna,49 500 km,Aixam,Aixam Crossover,Ząbkowice Śląskie (Dolnośląskie),29 950,Prywatny sprzedawca,400 cm3 • 4 KM • Czterokołowiec lekki L6E bez prawa jazdy B,2015
Diesel,Automatyczna,8 741 km,Aixam,Aixam Coupe,Zambrów (Podlaskie),63 960,Prywatny sprzedawca,479 cm3 • 8 KM • Aixam Coupe GTI jak nowy,2022
Diesel,Automatyczna,14 200 km,Aixam,Aixam City,Pajęczno (Łódzkie),33 900,Prywatny sprzedawca,480 cm3 • 4 KM • Microcar Ligier Js50 492 Dci 2020/2014 zadbany mały przebieg bezwypadk,2014
Diesel,Automatyczna,17 950 km,Aixam,Aixam City,Pajęczno (Łódzkie),64 999,Prywatny sprzedawca,599 cm3 • 15 KM • Microcar Crossover L7e 4 osobowy na B1 15KM zadbany ABS Kamera alu LED,2020
Benzyna,Automatyczna,52 000 km,Aixam,Aixam Crossline,Urle (Mazowieckie),23 900,Prywatny sprzedawca,"505 cm3 • 20 KM • Aixam Crossline Super Luxe (Benzyna, 4-osobowy, 2008, L7e - kat. B1)",2008
Diesel,Automatyczna,28 500 km,Aixam,Aixam City,Pajęczno (Łódzkie),36 900,Prywatny sprzedawca,523 cm3 • 4 KM • Ligier Microcar Chatenet Ch26 Yanmar L6e zadbany kamera PL Fv23%,2016
Diesel,Automatyczna,54 000 km,Aixam,Aixam City,Lubiecz (Wielkopolskie),26 500,Prywatny sprzedawca,500 cm3 • 4 KM • Bellier B8,2016
Diesel,Automatyczna,19 000 km,Aixam,Aixam Crossover,Kielce (Świętokrzyskie),35 900,Prywatny sprzedawca,479 cm3 • 8 KM • Aixam Crossover Bogata Wersja Kamera Parktronic Ledy Alu,2021
Diesel,Automatyczna,83 000 km,Aixam,Aixam City,Pułtusk (Mazowieckie),18 900,Prywatny sprzedawca,523 cm3 • 5 KM • JDM ligier microcar Auto L6E od 14 Lat bez Prawka kat.B Transport,2009
Diesel,Automatyczna,13 400 km,Aixam,Aixam City,Pajęczno (Łódzkie),31 900,Prywatny sprzedawca,505 cm3 • 4 KM • Microcar M.go Ligier L6e Diesel zadbany kamera LED czujniki zarej. PL,2017
Diesel,Automatyczna,65 300 km,Aixam,Aixam City,Marki (Mazowieckie),5 700,,400 cm3 • 5 KM • Micro car Liger Chatenet,2001
Diesel,Automatyczna,71 000 km,Aixam,Aixam Crossover,Marki (Mazowieckie),18 900,,400 cm3 • 5 KM • Kat L6b Liger Chatanet Microcar,2015
Diesel,Automatyczna,1 km,Aixam,Aixam Coupe,Nowy Targ (Małopolskie),75 280,,479 cm3 • 8 KM • AIXAM COUPE SPORT - auto od 14-tego roku życia,2024
Diesel,Automatyczna,550 km,Aixam,Aixam Inny,Nowy Targ (Małopolskie),48 900,,479 cm3 • 8 KM • AIXAM MINAUTO ACCESS - auto dla 14-to latków,2024
Diesel,Automatyczna,1 km,Aixam,Aixam City,Nowy Targ (Małopolskie),65 530,,479 cm3 • 8 KM • Nowy AIXAM model city pack,2024
Diesel,Automatyczna,1 km,Aixam,Aixam City,Nowy Targ (Małopolskie),74 630,,479 cm3 • 8 KM • AIXAM CITY SPORT - auto dla 14-to latków,2024
Elektryczny,Automatyczna,1 km,Aixam,Aixam Inny,Częstochowa (Śląskie),15 800,,15 KM • L7e kat. B1 zasięg 255 km Navi Kamera 360° Apple Carplay Android Auto,2024
Diesel,Automatyczna,19 293 km,Aixam,Aixam City,Żuromin (Mazowieckie),41 900,Prywatny sprzedawca,479 cm3 • 8 KM • SPORT Kamera sprowadzony zarejestrowany kt L6e od 14 LAT,2022
Diesel,Automatyczna,31 377 km,Aixam,Aixam A741,Gorlice (Małopolskie),13 900,Prywatny sprzedawca,400 cm3 • 5 KM • Ligier Microcar Chatenet JDM bez prawa jazdy AM od 14 roku życia L6e,2004
Diesel,Automatyczna,24 100 km,Aixam,Aixam Crossline,Jaroszyn (Wielkopolskie),70 000,,599 cm3 • 15 KM • Gwarancja / Kategoria L7E / VAT 23%,2020
Diesel,Automatyczna,1 km,Aixam,Aixam Crossover,Wrocław (Dolnośląskie),94 999,,"479 cm3 • 8 KM • Premium ,L6E od 14/16 roku życia, KLIMATYZACJA, ABS , Kamera cofania",2024
Diesel,Automatyczna,14 000 km,Aixam,Aixam City,Jaroszyn (Wielkopolskie),36 500,,479 cm3 • 8 KM • Gwarancja / Kategoria L6E / Dostarczymy auto pod dom/ Raty,2022
Elektryczny,Automatyczna,6 000 km,Aixam,Aixam Inny,Wieliczka (Małopolskie),9 900,Prywatny sprzedawca,8 KM • L6e Auto elektryczne bez prawka AIXAM,2017
Elektryczny,Automatyczna,27 800 km,Aixam,Aixam City,Pajęczno (Łódzkie),29 900,Prywatny sprzedawca,4 KM • Microcar Ligier L6e elektryczny zasieg ok 140km zadbany zarejestrowany,2015
Diesel,Automatyczna,44 000 km,Aixam,Aixam City,Olecko (Warmińsko-mazurskie),29 900,,400 cm3 • 5 KM • Minauto S8 400cm3 5KM *Kategoria L6E*Od 14-tego roku życia*2017r,2017
Diesel,Automatyczna,30 985 km,Aixam,Aixam City,Iwkowa (Małopolskie),25 000,,400 cm3 • 5 KM • AM B1 L6e od 14 lat duży wybór | gwarancja | transport pod dom | aixam,2013
Diesel,Automatyczna,8 550 km,Aixam,Aixam Coupe,Gniezno (Wielkopolskie),36 200,Prywatny sprzedawca,479 cm3 • 6 KM • Niski przebieg - microcar L6e - od 14 lat motorower - GTI COUPE carbon,2016
Diesel,Automatyczna,14 216 km,Aixam,Aixam City,Żuromin (Mazowieckie),40 900,Prywatny sprzedawca,479 cm3 • 6 KM • City SPORT Kamera sprowadzony zarejestrowany Kt L6e od 14 Lat,2021
Diesel,Automatyczna,42 406 km,Aixam,Aixam City,Koźmin Wielkopolski (Wielkopolskie),38 900,,479 cm3 • 8 KM • 2021 - L6e AM - od 14 roku życia,2021
Diesel,Automatyczna,1 km,Aixam,Aixam City,Chorzów (Śląskie),63 650,,479 cm3 • 8 KM • Pack od 14 roku życia! AIXAM MOTO Chorzów,2024
Diesel,Automatyczna,24 578 km,Aixam,Aixam A751,Płońsk (Mazowieckie),31 500,Prywatny sprzedawca,"523 cm3 • 4 KM • Chatenet CH26 kat. L6e , bez prawa jazdy",2013
Diesel,Automatyczna,130 000 km,Alfa Romeo,Mercedes-Benz Klasa C,Garwolin (Mazowieckie),16 900,Prywatny sprzedawca,2 143 cm3 • 204 KM • Silnik 651 niski przebieg AMG line 4matic,2014
Benzyna,Manualna,63 015 km,Alfa Romeo,Hyundai i10 1.0 BlueDrive Go,Sochaczew (Mazowieckie),26 900,Prywatny sprzedawca,998 cm3 • 66 KM • Salon Polska Bogate wyposażenie niski przebieg,2013
Hybryda,Manualna,3 km,Alfa Romeo,Fiat Panda 1.0 Hybrid Cross,Legnica (Dolnośląskie),69 990,,999 cm3 • 70 KM • Nowy Fiat Pandina SUPER CENA Dostępna od ręki !!!,2024
Benzyna,Automatyczna,61 992 km,Alfa Romeo,Mazda 3,Łódź (Łódzkie),59 999,Prywatny sprzedawca,1 998 cm3 • 120 KM • Mazda 3*2.0 120KM*61900km*100% Oryginał*Gwarancja*Zarejestrowana,2016
Benzyna,Manualna,141 000 km,Alfa Romeo,Toyota Corolla 1.6 Active,Warszawa (Mazowieckie),43 000,Prywatny sprzedawca,1 598 cm3 • 132 KM • Toyota Corolla 1.6 Active Sedan,2016
Benzyna,Manualna,112 474 km,Alfa Romeo,Opel Corsa 1.2 16V Cosmo,Szczecin (Zachodniopomorskie),19 800,Prywatny sprzedawca,1 229 cm3 • 85 KM • Opel Corsa D COSMO,2014
Benzyna,Manualna,116 500 km,Alfa Romeo,Nissan Qashqai+2,Warszawa (Mazowieckie),44 000,Prywatny sprzedawca,1 997 cm3 • 140 KM • 4X4 Kamera 360 Panorama,2013
Benzyna+LPG,Manualna,210 000 km,Alfa Romeo,Renault Thalia 1.2 16V All Inclusive,Kraków (Małopolskie),9 500,Prywatny sprzedawca,"1 149 cm3 • 75 KM • Pełna historia serwisowa, Salon POLSKA, LPG, All Inclusive",2011
Benzyna,Manualna,66 400 km,Alfa Romeo,Audi S3 2.0 TFSI Quattro,Ząbki (Mazowieckie),85 000,Prywatny sprzedawca,1 984 cm3 • 300 KM • Audi s3 8v,2015
Hybryda,Automatyczna,180 000 km,Alfa Romeo,Toyota Prius (Hybrid),Warszawa (Mazowieckie),45 000,Prywatny sprzedawca,1 798 cm3 • 99 KM • Toyota Prius III,2015
Benzyna,Automatyczna,157 000 km,Alfa Romeo,Audi A5,Płock (Mazowieckie),64 900,Prywatny sprzedawca,1 984 cm3 • 225 KM • Audi A5 Coupe Competition S-line 2.0 TFSI Quattro,2016
Benzyna,Automatyczna,124 000 km,Alfa Romeo,BMW 3GT 330i xDrive GT M Sport,Iława (Warmińsko-mazurskie),94 900,Prywatny sprzedawca,1 998 cm3 • 252 KM • BMW 330i xDrive GT M Pakiet,2016
Benzyna,Manualna,93 000 km,Alfa Romeo,Citroën C4 1.6 16V Exclusive,Rzepin (Lubuskie),8 900,Prywatny sprzedawca,"1 587 cm3 • 109 KM • z Niemiec BDB, 5-drzwi, 93tys. km",2007
Benzyna+LPG,Manualna,190 000 km,Alfa Romeo,Seat Ibiza,Kraków (Małopolskie),18 500,Prywatny sprzedawca,"1 390 cm3 • 86 KM • Seat Ibiza 2008 – Klimatronic, Gaz BRC, Tempomat, Alufelgi,190 tys. km",2008
Hybryda Plug-in,Automatyczna,36 850 km,Alfa Romeo,Jeep Compass 1.3 T4 PHEV 4xe Limited S&S,Przasnysz (Mazowieckie),129 899,,1 332 cm3 • 180 KM • LIFT 2023r FVAT23% 1.3 T4 Phev 190cv Limited 4xe Automat,2023
Benzyna,Automatyczna,58 700 km,Alfa Romeo,Seat Arona 1.0 TSI OPF DSG XCELLENCE,Huta (Wielkopolskie),63 900,Prywatny sprzedawca,999 cm3 • 110 KM • 1.0 TSI DSG Full Serwis Jak Nowy Bezwypadek Nowe Opony Alu Led,2022
Benzyna,Manualna,44 195 km,Alfa Romeo,Peugeot 208 1.2 PureTech Active S&S,Pruchna (Śląskie),52 900,Prywatny sprzedawca,1 199 cm3 • 75 KM • PEUGEOT 208 1.2 PURETECH ACTIVE S&S - Salon Polska - Serwisowany w ASO,2020
Diesel,Manualna,236 478 km,Alfa Romeo,Volkswagen Polo,Gorzów Wielkopolski (Lubuskie),16 900,Prywatny sprzedawca,1 598 cm3 • 75 KM,2010
Hybryda Plug-in,Automatyczna,139 800 km,Alfa Romeo,Audi A6 Avant 55 TFSI e quattro S tronic S line,Przasnysz (Mazowieckie),149 999,,1 984 cm3 • 265 KM • 1WŁ FVAT23% Bezwypadkowy Serwis ASO S-Line Virtual Radar,2021
Benzyna,Automatyczna,97 000 km,Alfa Romeo,Alfa Romeo Stelvio 2.0 Turbo Veloce Q4,Katowice (Śląskie),129 000,Prywatny sprzedawca,1 995 cm3 • 280 KM • Alfa Romeo Stelvio Veloce Q4 (polift - wydech MG) pierwszy właściciel,2020
Diesel,Automatyczna,240 000 km,Alfa Romeo,Audi A6 2.0 TDI ultra S tronic,Domatowo (Pomorskie),76 000,Prywatny sprzedawca,"1 968 cm3 • 190 KM • 2.0 TDI, 190KM, S-tronic, HAK, ogrzewanie postojowe",2017
Benzyna,Manualna,54 500 km,Alfa Romeo,Audi A1 25 TFSI Advanced,Chełmiec (Małopolskie),59 999,Prywatny sprzedawca,999 cm3 • 95 KM • Audi A1 82A Advanced,2020
Hybryda,Automatyczna,264 100 km,Alfa Romeo,Toyota Prius,Lubin (Dolnośląskie),38 000,Prywatny sprzedawca,1 798 cm3 • 99 KM • TOYOTA PRIUS 3 pierwszy właściciel w kraju.,2010
Diesel,Manualna,209 000 km,Alfa Romeo,Opel Insignia 2.0 CDTI ecoFLEX Innovation,Krotoszyn (Wielkopolskie),21 500,Prywatny sprzedawca,1 956 cm3 • 160 KM • Opel Insignia 2.0 CDTI ecoFLEX Innovation,2010
Hybryda,Automatyczna,37 000 km,Alfa Romeo,Toyota Camry 2.5 Hybrid Executive CVT,Kobyłka (Mazowieckie),135 900,Prywatny sprzedawca,"2 487 cm3 • 178 KM • Full Led, Skórzana tapicerka, alu felgi 18"", podgrzewane fotele",2023
Hybryda Plug-in,Automatyczna,40 000 km,Alfa Romeo,Volvo V60,Warszawa (Mazowieckie),145 000,Prywatny sprzedawca,1 969 cm3 • 303 KM • Plug-In Hybrid R-Design T8 AWD Recharge,2021
Benzyna+LPG,Manualna,171 100 km,Alfa Romeo,Opel Antara 2.4 4x4 Design Edition,Warszawa (Mazowieckie),35 900,Prywatny sprzedawca,2 384 cm3 • 167 KM • Design Edition 4x4 Benzyna/LPG,2011
Diesel,Manualna,249 546 km,Alfa Romeo,Seat Leon,Gorzów Wielkopolski (Lubuskie),14 500,Prywatny sprzedawca,1 896 cm3 • 105 KM,2006
Diesel,Manualna,200 000 km,Alfa Romeo,Hyundai Tucson 2.0 CRDI BlueDrive Comfort 2WD,Płock (Mazowieckie),57 900,Prywatny sprzedawca,"1 995 cm3 • 136 KM • Faktura Vat,kamera cofania,podgrzewane fotele,podgrzbogate wyposażenie",2016
Benzyna+LPG,Manualna,225 000 km,Alfa Romeo,Suzuki Grand Vitara 1.6,Sobolew (Mazowieckie),24 000,Prywatny sprzedawca,"1 586 cm3 • 106 KM • Suzuki Grand VITARA 1,6 Gaz",2006
Benzyna,Manualna,270 000 km,Alfa Romeo,BMW Seria 3 328i M Sport,Wolsztyn (Wielkopolskie),45 000,Prywatny sprzedawca,1 997 cm3 • 245 KM • Stan dobry bmw f31 328i bmw m sport estoril blue,2014
Benzyna,Automatyczna,37 800 km,Alfa Romeo,Kia Stinger 3.3 T-GDI V6 GT AWD,Ruda Śląska (Śląskie),131 500,Prywatny sprzedawca,3 342 cm3 • 370 KM • KIA Stinger 3.3 T-GDI V6 GT Prestige Line AWD,2017
Benzyna,Automatyczna,44 435 km,Alpine,Alpine A110 GT,Sękocin Nowy (Mazowieckie),250 000,,"1 798 cm3 • 300 KM • A110 GT 300KM Seria lim. nr 20/110 alu18"" audio Focal FULL OPCJA PL",2023
Benzyna,Manualna,1 200 km,Alpine,Alpine A110,Wiązów (Dolnośląskie),1 200 000,Prywatny sprzedawca,1 600 cm3 • 138 KM • Alpine A110 1800 Gr.4 - 1974 rok auto Sobiesława Zasady,1974
Benzyna,Automatyczna,1 km,Alpine,Alpine A110 S,Katowice (Śląskie),423 800,,"1 798 cm3 • 300 KM • A110S 101,5%",2024
Benzyna,Automatyczna,11 350 km,Alpine,Alpine A110 Standard,Warszawa (Mazowieckie),290 000,,1 798 cm3 • 252 KM • demo,2022
Benzyna,Automatyczna,32 500 km,Alpine,Alpine A110 Pure,Katowice (Śląskie),250 000,,1 798 cm3 • 252 KM • Pure - Limitowana wersja - jedyny w Polsce,2021
Benzyna,Automatyczna,46 505 km,Alpine,Alpine A110 A110S,Katowice (Śląskie),260 000,,1 798 cm3 • 292 KM • A110S 2021,2021
Benzyna,Automatyczna,1 km,Alpine,Alpine A110 S,Warszawa (Mazowieckie),413 500,,"1 798 cm3 • 300 KM • nowy, dostępny od ręki",2024
Benzyna,Automatyczna,1 km,Alpine,Alpine A110 R Le Mans,Warszawa (Mazowieckie),672 400,,1 798 cm3 • 300 KM • Limitowana edycja (Nº 81/100),2023
Benzyna,Automatyczna,7 751 km,Alpine,Alpine A110,Kielce (Świętokrzyskie),95 000,,1 798 cm3 • 300 KM • A110 Legende GT Limitowana Wersja NR 143 z 300 Sztuk SALON POLSKA Fakt,2022
Diesel,Manualna,230 000 km,Aston Martin,Seat Altea 1.6 TDI ITECH Ecomotive,Brusy (Pomorskie),18 900,Prywatny sprzedawca,1 598 cm3 • 105 KM • Seat Altea,2010
Diesel,Automatyczna,223 000 km,Aston Martin,Peugeot 5008 e-HDI FAP 115 EGS6 Stop&Start Active,Stargard (Zachodniopomorskie),25 900,Prywatny sprzedawca,1 560 cm3 • 115 KM • Peugeot 5008,2013
Benzyna,Automatyczna,16 km,Aston Martin,Audi S3 TFSI Quattro S tronic,Gdańsk (Pomorskie),208 999,,1 984 cm3 • 333 KM • OD RĘKI!! / Kamera cofania / Elekt. fotel kierowcy / Aktywny tempomat,2024
Diesel,Automatyczna,130 000 km,Aston Martin,Mercedes-Benz Klasa C,Garwolin (Mazowieckie),16 900,Prywatny sprzedawca,2 143 cm3 • 204 KM • Silnik 651 niski przebieg AMG line 4matic,2014
Benzyna,Manualna,254 000 km,Aston Martin,Opel Astra III GTC 2.0 T Cosmo,Głubczyce (Opolskie),16 500,Prywatny sprzedawca,1 998 cm3 • 200 KM • ASTRA H 2.0T 311KM/440NM IDS+,2005
Benzyna,Manualna,63 015 km,Aston Martin,Hyundai i10 1.0 BlueDrive Go,Sochaczew (Mazowieckie),26 900,Prywatny sprzedawca,998 cm3 • 66 KM • Salon Polska Bogate wyposażenie niski przebieg,2013
Hybryda,Manualna,3 km,Aston Martin,Fiat Panda 1.0 Hybrid Cross,Legnica (Dolnośląskie),69 990,,999 cm3 • 70 KM • Nowy Fiat Pandina SUPER CENA Dostępna od ręki !!!,2024
Benzyna,Automatyczna,61 992 km,Aston Martin,Mazda 3,Łódź (Łódzkie),59 999,Prywatny sprzedawca,1 998 cm3 • 120 KM • Mazda 3*2.0 120KM*61900km*100% Oryginał*Gwarancja*Zarejestrowana,2016
